,CAS,Name,Formula,Mw,Elements,SMILES,InChi
560,10203-28-8,2-Dodecanol,C12H26O,186.19836545778568,"['C', 'H', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
566,10203-58-4,Diethyl-iso-butyl malonate,C11H20O4,216.13615912306682,"['C', 'H', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
620,102-25-0,"Benzene, 1,3,5-triethyl-",C12H18,162.14085058030201,"['C', 'H']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
623,102-29-4,Resorcinol Monoacetate,C8H8O3,152.0473441166271,"['C', 'H', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
695,102-62-5,"1,2,3-Propanetriol, 1,2-diacetate",C7H12O5,176.0684734847265,"['C', 'H', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
715,102-70-5,"2-Propen-1-amine, N,N-di-2-propenyl-",C9H15N,137.12044948801702,"['C', 'H', 'N']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
716,102-71-6,Triethanolamine,C6H15NO3,149.1051933467321,"['C', 'H', 'N', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
721,102-76-1,"1,2,3-Propanetriol, triacetate",C9H14O6,218.0790381687762,"['C', 'H', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
742,102-85-2,Tri-n-butyl phosphite,C12H27O3P,250.16978172759508,"['C', 'H', 'O', 'P']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
769,10297-05-9,1-Chloro-4-iodobutane,C4H8ClI,217.93592487928203,"['C', 'H', 'Cl', 'I']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
788,103-08-2,5-Ethyl-2-nonanol,C11H24O,172.1827153933077,"['C', 'H', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
790,103-09-3,"Acetic acid, 2-ethylhexyl ester",C10H20O2,172.1463298839234,"['C', 'H', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
814,103-19-5,"Disulfide, bis(4-methylphenyl)",C14H14S2,246.053692800174,"['C', 'H', 'S']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
